iter	Passed	Remaining
0	41	41124
1	72	36257
2	138	46038
3	172	42946
4	198	39531
5	233	38726
6	262	37262
7	302	37522
8	339	37402
9	368	36525
10	411	37004
11	451	37179
12	495	37628
13	541	38104
14	579	38060
15	643	39565
16	683	39500
17	708	38625
18	746	38542
19	787	38584
20	818	38169
21	843	37513
22	871	37006
23	896	36457
24	969	37812
25	1002	37554
26	1066	38426
27	1107	38455
28	1149	38495
29	1174	37966
30	1205	37677
31	1238	37462
32	1265	37092
33	1304	37049
34	1344	37064
35	1383	37045
36	1443	37565
37	1525	38626
38	1589	39169
39	1615	38783
40	1652	38661
41	1684	38417
42	1734	38600
43	1771	38494
44	1798	38164
45	1823	37807
46	1853	37591
47	1880	37296
48	1910	37078
49	1946	36985
50	1980	36859
51	2007	36603
52	2036	36386
53	2071	36288
54	2100	36085
55	2140	36074
56	2217	36687
57	2245	36476
58	2290	36536
59	2324	36412
60	2357	36284
61	2391	36186
62	2457	36556
63	2505	36643
64	2536	36484
65	2567	36331
66	2602	36239
67	2650	36325
68	2678	36135
69	2703	35919
70	2740	35863
71	2771	35723
72	2798	35541
73	2828	35397
74	2887	35610
75	2917	35474
76	2953	35403
77	2982	35252
78	3008	35075
79	3033	34880
80	3063	34760
81	3100	34708
82	3155	34860
83	3183	34716
84	3263	35128
85	3292	34988
86	3317	34812
87	3383	35066
88	3410	34906
89	3445	34840
90	3471	34677
91	3498	34526
92	3548	34610
93	3578	34490
94	3615	34438
95	3676	34618
96	3708	34523
97	3736	34395
98	3784	34444
99	3845	34610
100	3872	34466
101	3933	34629
102	3970	34580
103	3998	34451
104	4061	34619
105	4092	34513
106	4142	34571
107	4204	34725
108	4227	34558
109	4252	34403
110	4300	34441
111	4333	34360
112	4396	34510
113	4427	34408
114	4457	34304
115	4494	34248
116	4539	34258
117	4563	34111
118	4601	34065
119	4638	34012
120	4698	34133
121	4762	34274
122	4798	34214
123	4848	34249
124	4875	34125
125	4907	34039
126	4956	34068
127	4979	33923
128	5006	33802
129	5067	33915
130	5106	33872
131	5143	33821
132	5180	33769
133	5206	33647
134	5243	33594
135	5273	33503
136	5304	33411
137	5341	33365
138	5372	33276
139	5403	33190
140	5433	33104
141	5495	33207
142	5522	33096
143	5559	33049
144	5581	32909
145	5620	32875
146	5649	32784
147	5713	32890
148	5762	32909
149	5788	32803
150	5818	32717
151	5856	32672
152	5882	32567
153	5944	32658
154	5974	32568
155	6023	32589
156	6086	32679
157	6146	32756
158	6211	32852
159	6238	32750
160	6275	32701
161	6300	32592
162	6327	32491
163	6354	32390
164	6381	32293
165	6408	32198
166	6437	32112
167	6470	32046
168	6508	32005
169	6539	31928
170	6610	32046
171	6691	32212
172	6737	32206
173	6775	32166
174	6804	32076
175	6852	32083
176	6879	31986
177	6913	31925
178	6946	31862
179	7008	31925
180	7070	31992
181	7108	31950
182	7135	31856
183	7167	31785
184	7201	31725
185	7227	31630
186	7290	31694
187	7317	31607
188	7350	31539
189	7421	31638
190	7454	31573
191	7481	31482
192	7517	31434
193	7545	31347
194	7573	31263
195	7599	31173
196	7629	31100
197	7667	31056
198	7731	31119
199	7762	31049
200	7792	30977
201	7855	31032
202	7883	30951
203	7947	31010
204	7970	30911
205	8011	30878
206	8078	30947
207	8116	30904
208	8143	30819
209	8204	30863
210	8243	30824
211	8267	30731
212	8294	30647
213	8326	30581
214	8357	30515
215	8382	30425
216	8408	30341
217	8433	30253
218	8499	30311
219	8531	30246
220	8567	30200
221	8594	30117
222	8617	30025
223	8644	29945
224	8668	29857
225	8695	29780
226	8729	29727
227	8761	29666
228	8816	29684
229	8898	29789
230	8939	29759
231	9001	29798
232	9064	29839
233	9091	29761
234	9115	29674
235	9147	29612
236	9186	29576
237	9250	29615
238	9276	29537
239	9339	29575
240	9364	29493
241	9391	29415
242	9455	29456
243	9515	29483
244	9577	29515
245	9605	29441
246	9630	29360
247	9696	29400
248	9745	29394
249	9771	29315
250	9797	29235
251	9827	29171
252	9891	29206
253	9955	29240
254	9980	29157
255	10005	29079
256	10036	29014
257	10062	28938
258	10125	28968
259	10150	28889
260	10176	28814
261	10208	28754
262	10271	28784
263	10336	28816
264	10363	28744
265	10427	28773
266	10455	28704
267	10480	28625
268	10543	28652
269	10570	28579
270	10601	28517
271	10629	28449
272	10693	28477
273	10757	28502
274	10820	28528
275	10887	28559
276	10911	28480
277	10976	28507
278	11041	28534
279	11106	28560
280	11156	28546
281	11219	28564
282	11256	28519
283	11283	28448
284	11348	28471
285	11394	28446
286	11420	28373
287	11445	28296
288	11472	28225
289	11510	28181
290	11536	28108
291	11601	28128
292	11661	28140
293	11726	28160
294	11791	28179
295	11823	28121
296	11854	28058
297	11880	27987
298	11942	27998
299	11968	27926
300	11998	27863
301	12023	27790
302	12087	27804
303	12137	27789
304	12176	27745
305	12203	27676
306	12267	27691
307	12332	27708
308	12371	27664
309	12434	27677
310	12499	27691
311	12523	27615
312	12551	27548
313	12580	27485
314	12606	27413
315	12670	27426
316	12745	27462
317	12805	27462
318	12834	27399
319	12862	27333
320	12951	27395
321	13015	27404
322	13049	27352
323	13078	27288
324	13129	27267
325	13193	27277
326	13218	27205
327	13246	27139
328	13272	27068
329	13325	27055
330	13352	26987
331	13415	26992
332	13446	26932
333	13472	26863
334	13538	26874
335	13565	26807
336	13592	26741
337	13653	26741
338	13685	26685
339	13716	26626
340	13779	26629
341	13804	26559
342	13831	26492
343	13859	26430
344	13920	26428
345	13982	26429
346	14010	26364
347	14034	26295
348	14061	26230
349	14124	26230
350	14149	26162
351	14211	26162
352	14271	26158
353	14331	26152
354	14391	26147
355	14418	26083
356	14478	26077
357	14525	26048
358	14550	25979
359	14575	25912
360	14618	25875
361	14643	25807
362	14702	25800
363	14746	25766
364	14776	25707
365	14836	25700
366	14860	25632
367	14890	25573
368	14926	25524
369	14950	25456
370	14975	25389
371	15021	25359
372	15049	25297
373	15115	25300
374	15213	25355
375	15285	25368
376	15345	25359
377	15369	25290
378	15397	25229
379	15461	25226
380	15488	25163
381	15554	25163
382	15614	25154
383	15640	25089
384	15700	25080
385	15759	25068
386	15784	25002
387	15810	24937
388	15839	24878
389	15904	24875
390	15965	24866
391	16025	24856
392	16086	24845
393	16110	24779
394	16173	24772
395	16205	24717
396	16271	24715
397	16335	24708
398	16363	24647
399	16421	24631
400	16484	24623
401	16512	24563
402	16587	24573
403	16613	24508
404	16654	24468
405	16679	24402
406	16739	24389
407	16784	24353
408	16810	24290
409	16840	24234
410	16904	24225
411	16935	24169
412	16972	24122
413	16999	24062
414	17037	24016
415	17097	24001
416	17140	23964
417	17197	23944
418	17223	23882
419	17289	23875
420	17326	23828
421	17363	23781
422	17403	23739
423	17435	23686
424	17459	23622
425	17515	23600
426	17538	23535
427	17561	23470
428	17591	23414
429	17625	23364
430	17656	23309
431	17725	23306
432	17751	23245
433	17776	23183
434	17813	23136
435	17841	23079
436	17887	23044
437	17941	23020
438	17998	22999
439	18052	22975
440	18107	22952
441	18161	22927
442	18195	22877
443	18228	22826
444	18265	22780
445	18290	22720
446	18349	22701
447	18373	22638
448	18422	22607
449	18484	22591
450	18540	22569
451	18595	22545
452	18638	22505
453	18662	22444
454	18716	22418
455	18770	22393
456	18812	22352
457	18862	22322
458	18921	22301
459	18968	22266
460	18994	22207
461	19019	22148
462	19083	22134
463	19114	22080
464	19159	22044
465	19219	22024
466	19282	22008
467	19334	21978
468	19380	21942
469	19440	21921
470	19464	21861
471	19526	21843
472	19557	21790
473	19621	21774
474	19684	21756
475	19709	21696
476	19768	21674
477	19830	21656
478	19891	21636
479	19934	21596
480	19958	21534
481	19984	21476
482	20007	21415
483	20030	21355
484	20093	21336
485	20117	21277
486	20149	21224
487	20174	21166
488	20237	21148
489	20267	21095
490	20334	21080
491	20363	21025
492	20394	20973
493	20455	20952
494	20513	20927
495	20576	20907
496	20598	20847
497	20623	20789
498	20652	20735
499	20676	20676
500	20720	20637
501	20745	20579
502	20770	20522
503	20830	20499
504	20855	20442
505	20913	20417
506	20970	20391
507	21006	20345
508	21065	20320
509	21124	20295
510	21184	20272
511	21242	20246
512	21267	20189
513	21325	20163
514	21382	20136
515	21406	20079
516	21442	20032
517	21467	19975
518	21502	19927
519	21559	19901
520	21585	19845
521	21609	19787
522	21633	19730
523	21668	19684
524	21692	19626
525	21717	19570
526	21745	19516
527	21769	19461
528	21829	19436
529	21852	19378
530	21910	19352
531	21946	19306
532	21975	19254
533	22000	19198
534	22029	19146
535	22087	19120
536	22149	19097
537	22175	19042
538	22234	19016
539	22298	18995
540	22361	18972
541	22420	18945
542	22445	18890
543	22490	18852
544	22525	18805
545	22585	18780
546	22609	18724
547	22669	18698
548	22726	18669
549	22751	18614
550	22810	18588
551	22871	18561
552	22895	18507
553	22954	18479
554	22978	18424
555	23012	18376
556	23035	18320
557	23059	18265
558	23120	18240
559	23166	18202
560	23225	18174
561	23265	18131
562	23323	18103
563	23348	18049
564	23371	17994
565	23396	17940
566	23424	17888
567	23483	17860
568	23509	17807
569	23570	17781
570	23620	17746
571	23681	17720
572	23743	17693
573	23805	17667
574	23836	17618
575	23899	17593
576	23961	17566
577	24006	17527
578	24052	17488
579	24077	17435
580	24105	17384
581	24131	17331
582	24190	17302
583	24258	17279
584	24307	17243
585	24333	17191
586	24394	17163
587	24457	17136
588	24519	17109
589	24546	17057
590	24571	17004
591	24634	16977
592	24699	16952
593	24762	16925
594	24792	16875
595	24829	16830
596	24890	16802
597	24951	16773
598	25013	16745
599	25043	16695
600	25103	16665
601	25146	16624
602	25206	16595
603	25266	16565
604	25301	16519
605	25331	16469
606	25390	16439
607	25449	16408
608	25511	16379
609	25570	16348
610	25633	16319
611	25692	16289
612	25753	16258
613	25777	16205
614	25804	16154
615	25830	16102
616	25891	16072
617	25951	16041
618	26012	16011
619	26069	15978
620	26096	15926
621	26121	15874
622	26175	15839
623	26232	15806
624	26257	15754
625	26290	15706
626	26375	15690
627	26432	15657
628	26456	15604
629	26479	15551
630	26536	15518
631	26560	15465
632	26583	15412
633	26638	15377
634	26693	15343
635	26747	15308
636	26770	15255
637	26825	15220
638	26858	15173
639	26882	15121
640	26916	15074
641	26971	15040
642	27005	14993
643	27039	14947
644	27095	14913
645	27118	14860
646	27145	14810
647	27167	14757
648	27222	14723
649	27278	14688
650	27301	14636
651	27326	14585
652	27352	14534
653	27383	14487
654	27450	14458
655	27510	14426
656	27572	14395
657	27636	14364
658	27665	14315
659	27725	14282
660	27788	14251
661	27821	14204
662	27892	14177
663	27954	14145
664	27982	14096
665	28044	14064
666	28107	14032
667	28143	13987
668	28206	13955
669	28270	13924
670	28331	13891
671	28394	13859
672	28425	13811
673	28450	13760
674	28511	13727
675	28574	13695
676	28596	13643
677	28624	13594
678	28654	13546
679	28684	13498
680	28741	13463
681	28797	13427
682	28858	13393
683	28918	13360
684	28942	13309
685	28974	13262
686	29004	13214
687	29064	13180
688	29088	13129
689	29149	13096
690	29176	13047
691	29206	12999
692	29236	12951
693	29296	12917
694	29323	12868
695	29348	12818
696	29371	12768
697	29431	12734
698	29454	12683
699	29483	12635
700	29511	12587
701	29571	12553
702	29598	12504
703	29659	12470
704	29692	12424
705	29720	12376
706	29746	12327
707	29773	12279
708	29839	12247
709	29885	12206
710	29946	12172
711	29970	12122
712	30032	12088
713	30057	12039
714	30085	11992
715	30111	11943
716	30170	11908
717	30199	11861
718	30225	11812
719	30253	11765
720	30312	11729
721	30335	11680
722	30361	11632
723	30386	11583
724	30448	11549
725	30509	11514
726	30553	11473
727	30579	11425
728	30607	11377
729	30631	11329
730	30690	11293
731	30724	11249
732	30761	11204
733	30822	11169
734	30845	11121
735	30869	11072
736	30892	11024
737	30919	10976
738	30977	10940
739	31002	10892
740	31031	10846
741	31056	10798
742	31083	10751
743	31108	10703
744	31168	10668
745	31231	10633
746	31292	10598
747	31349	10561
748	31373	10513
749	31396	10465
750	31422	10418
751	31445	10370
752	31506	10334
753	31565	10298
754	31625	10262
755	31683	10226
756	31721	10182
757	31747	10135
758	31807	10099
759	31831	10052
760	31857	10005
761	31887	9959
762	31915	9913
763	31940	9866
764	32001	9830
765	32065	9795
766	32095	9749
767	32125	9704
768	32151	9657
769	32209	9621
770	32234	9574
771	32293	9537
772	32353	9500
773	32384	9455
774	32412	9410
775	32445	9365
776	32471	9319
777	32530	9282
778	32555	9235
779	32579	9189
780	32639	9152
781	32665	9106
782	32699	9062
783	32726	9016
784	32785	8979
785	32812	8933
786	32872	8896
787	32929	8859
788	32989	8822
789	33051	8785
790	33078	8740
791	33104	8694
792	33129	8647
793	33160	8603
794	33185	8557
795	33244	8520
796	33304	8482
797	33363	8445
798	33388	8399
799	33418	8354
800	33441	8308
801	33500	8270
802	33560	8233
803	33621	8196
804	33680	8158
805	33704	8112
806	33762	8074
807	33786	8028
808	33810	7982
809	33835	7936
810	33891	7898
811	33948	7860
812	34007	7822
813	34067	7784
814	34125	7746
815	34160	7702
816	34195	7659
817	34254	7621
818	34316	7583
819	34379	7546
820	34423	7505
821	34484	7467
822	34507	7421
823	34567	7383
824	34627	7345
825	34657	7300
826	34716	7262
827	34741	7216
828	34772	7172
829	34800	7127
830	34825	7082
831	34852	7037
832	34877	6992
833	34935	6953
834	34998	6915
835	35062	6878
836	35120	6839
837	35179	6800
838	35238	6762
839	35270	6718
840	35299	6673
841	35363	6635
842	35390	6591
843	35416	6546
844	35439	6500
845	35496	6461
846	35528	6417
847	35584	6378
848	35639	6338
849	35696	6299
850	35756	6260
851	35784	6216
852	35809	6171
853	35866	6131
854	35888	6086
855	35949	6047
856	35976	6003
857	36002	5958
858	36050	5917
859	36074	5872
860	36136	5833
861	36199	5795
862	36231	5751
863	36276	5710
864	36305	5666
865	36365	5626
866	36425	5587
867	36481	5547
868	36506	5503
869	36529	5458
870	36589	5419
871	36650	5379
872	36712	5340
873	36774	5301
874	36833	5261
875	36894	5222
876	36944	5181
877	36974	5137
878	36997	5092
879	37027	5049
880	37092	5010
881	37124	4966
882	37150	4922
883	37212	4883
884	37272	4843
885	37308	4800
886	37339	4756
887	37370	4713
888	37397	4669
889	37459	4629
890	37521	4590
891	37578	4549
892	37638	4509
893	37662	4465
894	37690	4421
895	37750	4381
896	37811	4341
897	37870	4301
898	37929	4261
899	37990	4221
900	38014	4176
901	38041	4133
902	38065	4088
903	38125	4048
904	38155	4005
905	38180	3961
906	38205	3917
907	38229	3873
908	38254	3829
909	38317	3789
910	38363	3747
911	38425	3707
912	38485	3667
913	38543	3626
914	38604	3586
915	38663	3545
916	38694	3502
917	38719	3458
918	38779	3418
919	38806	3374
920	38831	3330
921	38868	3288
922	38932	3247
923	38979	3206
924	39004	3162
925	39027	3118
926	39055	3075
927	39115	3034
928	39174	2993
929	39199	2950
930	39258	2909
931	39319	2868
932	39351	2825
933	39378	2782
934	39408	2739
935	39469	2698
936	39526	2657
937	39585	2616
938	39609	2573
939	39670	2532
940	39693	2488
941	39754	2447
942	39777	2404
943	39806	2361
944	39865	2320
945	39908	2278
946	39967	2236
947	40012	2194
948	40072	2153
949	40134	2112
950	40158	2069
951	40202	2027
952	40260	1985
953	40284	1942
