,Услуги
1,34
2,98
3,92
4,92
5,98
6,34
7,98
8,92
9,92
10,98
11,34
12,98
13,92
14,92
15,98
16,34
17,98
18,92
19,92
20,98
21,34
22,98
23,92
24,92
25,98
26,34
27,98
28,92
29,92
30,98
31,34
32,98
33,92
34,92
35,98
36,34
37,98
38,92
39,92
40,98
41,34
42,98
43,92
44,92
45,98
46,34
47,98
48,92
49,92
50,98
1,31
2,45
3,45
4,45
5,45
6,31
7,45
8,45
9,45
10,45
11,31
12,45
13,45
14,45
15,45
16,31
17,45
18,45
19,45
20,45
21,31
22,45
23,45
24,45
25,45
26,31
27,45
28,45
29,45
30,45
31,31
32,45
33,45
34,45
35,45
36,31
37,45
38,45
39,45
40,45
41,31
42,45
43,45
44,45
45,45
46,31
47,45
48,45
49,45
50,45
1,353
2,89
3,57
4,57
5,89
6,353
7,89
8,57
9,57
10,89
11,353
12,89
13,57
14,57
15,89
16,353
17,89
18,57
19,57
20,89
21,353
22,89
23,57
24,57
25,89
26,353
27,89
28,57
29,57
30,89
31,353
32,89
33,57
34,57
35,89
36,353
37,89
38,57
39,57
40,89
41,353
42,89
43,57
44,57
45,89
46,353
47,89
48,57
49,57
50,89
1,336
2,99
3,88
4,88
5,353
6,337
7,99
8,89
9,88
10,353
11,338
12,99
13,90
14,88
15,353
16,339
17,99
18,91
19,88
20,353
21,340
22,99
23,92
24,88
25,353
26,341
27,99
28,93
29,88
30,353
31,342
32,99
33,94
34,88
35,353
36,343
37,99
38,95
39,88
40,353
41,344
42,99
43,96
44,88
45,353
46,345
47,99
48,97
49,88
50,353
2,123
4,44
5,336
7,124
9,45
10,336
12,125
14,46
15,336
17,126
19,47
20,336
22,127
24,48
25,336
27,128
29,49
30,336
32,129
34,50
35,336
37,130
39,51
40,336
42,131
44,52
45,336
47,132
49,53
50,336
5,34
10,35
15,36
20,37
25,38
30,39
35,40
40,41
45,42
50,43
